arbitration_id,decoded,Batch_ID,Pass_1,Pass_2,Pass_3,Pass_4,Pass_5
0x18f,"{'R_TqAcnApvC': 50.800000000000004, 'R_PAcnC': 10875, 'TQI_B': 0.0, 'SLD_VS': 0, 'CF_CdaStat': 0, 'CF_Ems_IsgStat': 0, 'CF_Ems_OilChg': 0, 'CF_Ems_EtcLimpMod': 0, 'R_NEngIdlTgC': 600, 'CF_Ems_UpTarGr': 0, 'CF_Ems_DownTarGr': 0, 'CF_Ems_DesCurGr': 0, 'CF_Ems_SldAct': 0, 'CF_Ems_SldPosAct': 0, 'CF_Ems_HPresStat': 0, 'CF_Ems_IsgBuz': 0, 'CF_Ems_IdlStpFCO': 0, 'CF_Ems_FCopen': 0, 'CF_Ems_ActEcoAct': 0, 'CF_Ems_EngRunNorm': 0, 'CF_Ems_IsgStat2': 0}",0,No,No,No,No,No
0x545,"{'IMMO_LAMP_STAT': 0, 'L_MIL': 0, 'IM_STAT': 0, 'AMP_CAN': 748.733551, 'BAT_Alt_FR_Duty': 0.0, 'VB': 14.015625, 'EMS_VS': 0.0, 'TEMP_FUEL': -48.0}",0,No,No,No,No,No
0x140,"{'CR_Yrs_LongAc': -4.17677312, 'CF_Yrs_LongAcStat': 0, 'CF_IMU_ResetStat': 0, 'YRS_Temp': -68, 'YRS_TempStat': 6, 'CF_Yrs_Type': 1, 'CR_Yrs_MsgCnt2': 6, 'CR_Yrs_Crc2': 51}",0,No,No,No,No,No
0x329,"{'MUL_CODE': 3, 'TEMP_ENG': 93.0, 'MAF_FAC_ALTI_MMV': 0.99187, 'VB_OFF_ACT': 0, 'ACK_ES': 0, 'CONF_MIL_FMY': 5, 'OD_OFF_REQ': 0, 'ACC_ACT': 0, 'CLU_ACK': 0, 'BRAKE_ACT': 1, 'ENG_CHR': 4, 'GP_CTL': 0, 'TPS': 9.999999992515995e-07, 'PV_AV_CAN': 0.0, 'ENG_VOL': 2.0, 'TQ_STND': 280}",0,No,No,No,No,No
0x18f,"{'R_TqAcnApvC': 50.800000000000004, 'R_PAcnC': 11375, 'TQI_B': 0.0, 'SLD_VS': 0, 'CF_CdaStat': 0, 'CF_Ems_IsgStat': 0, 'CF_Ems_OilChg': 0, 'CF_Ems_EtcLimpMod': 0, 'R_NEngIdlTgC': 600, 'CF_Ems_UpTarGr': 0, 'CF_Ems_DownTarGr': 0, 'CF_Ems_DesCurGr': 0, 'CF_Ems_SldAct': 0, 'CF_Ems_SldPosAct': 0, 'CF_Ems_HPresStat': 0, 'CF_Ems_IsgBuz': 0, 'CF_Ems_IdlStpFCO': 0, 'CF_Ems_FCopen': 0, 'CF_Ems_ActEcoAct': 0, 'CF_Ems_EngRunNorm': 0, 'CF_Ems_IsgStat2': 0}",0,No,No,No,No,No
0x18f,"{'R_TqAcnApvC': 50.800000000000004, 'R_PAcnC': 11125, 'TQI_B': 0.0, 'SLD_VS': 0, 'CF_CdaStat': 0, 'CF_Ems_IsgStat': 0, 'CF_Ems_OilChg': 0, 'CF_Ems_EtcLimpMod': 0, 'R_NEngIdlTgC': 600, 'CF_Ems_UpTarGr': 0, 'CF_Ems_DownTarGr': 0, 'CF_Ems_DesCurGr': 0, 'CF_Ems_SldAct': 0, 'CF_Ems_SldPosAct': 0, 'CF_Ems_HPresStat': 0, 'CF_Ems_IsgBuz': 0, 'CF_Ems_IdlStpFCO': 0, 'CF_Ems_FCopen': 0, 'CF_Ems_ActEcoAct': 0, 'CF_Ems_EngRunNorm': 0, 'CF_Ems_IsgStat2': 0}",0,No,No,No,No,No
0x329,"{'MUL_CODE': 1, 'TEMP_ENG': 91.5, 'MAF_FAC_ALTI_MMV': 0.99187, 'VB_OFF_ACT': 0, 'ACK_ES': 0, 'CONF_MIL_FMY': 5, 'OD_OFF_REQ': 0, 'ACC_ACT': 0, 'CLU_ACK': 0, 'BRAKE_ACT': 1, 'ENG_CHR': 4, 'GP_CTL': 0, 'TPS': 9.999999992515995e-07, 'PV_AV_CAN': 0.0, 'ENG_VOL': 2.0, 'CONF_TCU': 0}",0,No,No,No,No,No
0x260,"{'TQI_MIN': 9.765625, 'TQI': 12.890625, 'TQI_TARGET': 12.890625, 'GLOW_STAT': 0, 'CRUISE_LAMP_M': 0, 'CRUISE_LAMP_S': 0, 'PRE_FUEL_CUT_IN': 0, 'ENG_STAT': 3, 'SOAK_TIME_ERROR': 0, 'SOAK_TIME': 8, 'TQI_MAX': 55.46875, 'SPK_TIME_CUR': 4.875, 'Checksum': 12, 'AliveCounter': 3, 'CF_Ems_AclAct': 0}",0,No,No,No,No,No
0x130,"{'CR_Yrs_Yr': 0.17500000000001137, 'CR_Yrs_LatAc': 4.14414208, 'CF_Yrs_YrStat': 8, 'CF_Yrs_LatAcStat': 2, 'CF_Yrs_MCUStat': 0, 'CR_Yrs_MsgCnt1': 2, 'CR_Yrs_Crc1': 75}",0,No,No,No,No,No
0x260,"{'TQI_MIN': 9.765625, 'TQI': 12.890625, 'TQI_TARGET': 12.890625, 'GLOW_STAT': 0, 'CRUISE_LAMP_M': 0, 'CRUISE_LAMP_S': 0, 'PRE_FUEL_CUT_IN': 0, 'ENG_STAT': 3, 'SOAK_TIME_ERROR': 0, 'SOAK_TIME': 8, 'TQI_MAX': 55.46875, 'SPK_TIME_CUR': 3.375, 'Checksum': 13, 'AliveCounter': 0, 'CF_Ems_AclAct': 0}",0,No,No,No,No,No
0x316,"{'SWI_IGK': 1, 'F_N_ENG': 0, 'ACK_TCS': 1, 'PUC_STAT': 0, 'TQ_COR_STAT': 0, 'RLY_AC': 0, 'F_SUB_TQI': 0, 'TQI_ACOR': 13.28125, 'N': 647.0, 'TQI': 13.28125, 'TQFR': 12.109375, 'VS': 0, 'RATIO_TQI_BAS_MAX_STND': 0.8658}",0,No,No,No,No,No
0x260,"{'TQI_MIN': 9.765625, 'TQI': 12.890625, 'TQI_TARGET': 12.890625, 'GLOW_STAT': 0, 'CRUISE_LAMP_M': 0, 'CRUISE_LAMP_S': 0, 'PRE_FUEL_CUT_IN': 0, 'ENG_STAT': 3, 'SOAK_TIME_ERROR': 0, 'SOAK_TIME': 8, 'TQI_MAX': 55.859375, 'SPK_TIME_CUR': 4.125, 'Checksum': 13, 'AliveCounter': 3, 'CF_Ems_AclAct': 0}",0,No,No,No,No,No
0x130,"{'CR_Yrs_Yr': 0.08500000000000796, 'CR_Yrs_LatAc': 4.14414208, 'CF_Yrs_YrStat': 3, 'CF_Yrs_LatAcStat': 2, 'CF_Yrs_MCUStat': 0, 'CR_Yrs_MsgCnt1': 14, 'CR_Yrs_Crc1': 59}",0,No,No,No,No,No
0x260,"{'TQI_MIN': 9.765625, 'TQI': 13.28125, 'TQI_TARGET': 13.671875, 'GLOW_STAT': 0, 'CRUISE_LAMP_M': 0, 'CRUISE_LAMP_S': 0, 'PRE_FUEL_CUT_IN': 0, 'ENG_STAT': 3, 'SOAK_TIME_ERROR': 0, 'SOAK_TIME': 8, 'TQI_MAX': 55.46875, 'SPK_TIME_CUR': 6.75, 'Checksum': 5, 'AliveCounter': 3, 'CF_Ems_AclAct': 0}",0,No,No,No,No,No
0x140,"{'CR_Yrs_LongAc': -4.17677312, 'CF_Yrs_LongAcStat': 0, 'CF_IMU_ResetStat': 0, 'YRS_Temp': -68, 'YRS_TempStat': 12, 'CF_Yrs_Type': 0, 'CR_Yrs_MsgCnt2': 5, 'CR_Yrs_Crc2': 155}",0,No,No,No,No,No
0x140,"{'CR_Yrs_LongAc': -4.17677312, 'CF_Yrs_LongAcStat': 0, 'CF_IMU_ResetStat': 0, 'YRS_Temp': -68, 'YRS_TempStat': 10, 'CF_Yrs_Type': 1, 'CR_Yrs_MsgCnt2': 0, 'CR_Yrs_Crc2': 154}",0,No,No,No,No,No
0x18f,"{'R_TqAcnApvC': 50.800000000000004, 'R_PAcnC': 11625, 'TQI_B': 0.0, 'SLD_VS': 0, 'CF_CdaStat': 0, 'CF_Ems_IsgStat': 0, 'CF_Ems_OilChg': 0, 'CF_Ems_EtcLimpMod': 0, 'R_NEngIdlTgC': 600, 'CF_Ems_UpTarGr': 0, 'CF_Ems_DownTarGr': 0, 'CF_Ems_DesCurGr': 0, 'CF_Ems_SldAct': 0, 'CF_Ems_SldPosAct': 0, 'CF_Ems_HPresStat': 0, 'CF_Ems_IsgBuz': 0, 'CF_Ems_IdlStpFCO': 0, 'CF_Ems_FCopen': 0, 'CF_Ems_ActEcoAct': 0, 'CF_Ems_EngRunNorm': 0, 'CF_Ems_IsgStat2': 0}",0,No,No,No,No,No
0x545,"{'IMMO_LAMP_STAT': 0, 'L_MIL': 0, 'IM_STAT': 0, 'AMP_CAN': 748.733551, 'BAT_Alt_FR_Duty': 0.0, 'VB': 13.8125, 'EMS_VS': 0.0, 'TEMP_FUEL': -48.0}",0,No,No,No,No,No
0x18f,"{'R_TqAcnApvC': 50.800000000000004, 'R_PAcnC': 11375, 'TQI_B': 0.0, 'SLD_VS': 0, 'CF_CdaStat': 0, 'CF_Ems_IsgStat': 0, 'CF_Ems_OilChg': 0, 'CF_Ems_EtcLimpMod': 0, 'R_NEngIdlTgC': 600, 'CF_Ems_UpTarGr': 0, 'CF_Ems_DownTarGr': 0, 'CF_Ems_DesCurGr': 0, 'CF_Ems_SldAct': 0, 'CF_Ems_SldPosAct': 0, 'CF_Ems_HPresStat': 0, 'CF_Ems_IsgBuz': 0, 'CF_Ems_IdlStpFCO': 0, 'CF_Ems_FCopen': 0, 'CF_Ems_ActEcoAct': 0, 'CF_Ems_EngRunNorm': 0, 'CF_Ems_IsgStat2': 0}",0,No,No,No,No,No
0x545,"{'IMMO_LAMP_STAT': 0, 'L_MIL': 0, 'IM_STAT': 0, 'AMP_CAN': 748.733551, 'BAT_Alt_FR_Duty': 0.0, 'VB': 13.9140625, 'EMS_VS': 0.0, 'TEMP_FUEL': -48.0}",0,No,No,No,No,No
0x18f,"{'R_TqAcnApvC': 50.800000000000004, 'R_PAcnC': 10750, 'TQI_B': 0.0, 'SLD_VS': 0, 'CF_CdaStat': 0, 'CF_Ems_IsgStat': 0, 'CF_Ems_OilChg': 0, 'CF_Ems_EtcLimpMod': 0, 'R_NEngIdlTgC': 650, 'CF_Ems_UpTarGr': 0, 'CF_Ems_DownTarGr': 0, 'CF_Ems_DesCurGr': 0, 'CF_Ems_SldAct': 0, 'CF_Ems_SldPosAct': 0, 'CF_Ems_HPresStat': 0, 'CF_Ems_IsgBuz': 0, 'CF_Ems_IdlStpFCO': 0, 'CF_Ems_FCopen': 0, 'CF_Ems_ActEcoAct': 0, 'CF_Ems_EngRunNorm': 0, 'CF_Ems_IsgStat2': 0}",0,No,No,No,No,No
0x130,"{'CR_Yrs_Yr': 0.07499999999998863, 'CR_Yrs_LatAc': 4.14414208, 'CF_Yrs_YrStat': 13, 'CF_Yrs_LatAcStat': 1, 'CF_Yrs_MCUStat': 0, 'CR_Yrs_MsgCnt1': 15, 'CR_Yrs_Crc1': 191}",0,No,No,No,No,No
0x316,"{'SWI_IGK': 1, 'F_N_ENG': 0, 'ACK_TCS': 1, 'PUC_STAT': 0, 'TQ_COR_STAT': 0, 'RLY_AC': 0, 'F_SUB_TQI': 0, 'TQI_ACOR': 12.890625, 'N': 606.0, 'TQI': 12.890625, 'TQFR': 12.5, 'VS': 0, 'RATIO_TQI_BAS_MAX_STND': 0.8658}",0,No,No,No,No,No
0x329,"{'MUL_CODE': 3, 'TEMP_ENG': 90.75, 'MAF_FAC_ALTI_MMV': 0.99187, 'VB_OFF_ACT': 0, 'ACK_ES': 0, 'CONF_MIL_FMY': 5, 'OD_OFF_REQ': 0, 'ACC_ACT': 0, 'CLU_ACK': 0, 'BRAKE_ACT': 1, 'ENG_CHR': 4, 'GP_CTL': 0, 'TPS': 9.999999992515995e-07, 'PV_AV_CAN': 0.0, 'ENG_VOL': 2.0, 'TQ_STND': 280}",1,No,No,No,No,No
0x130,"{'CR_Yrs_Yr': 0.11000000000001364, 'CR_Yrs_LatAc': 4.14414208, 'CF_Yrs_YrStat': 5, 'CF_Yrs_LatAcStat': 1, 'CF_Yrs_MCUStat': 0, 'CR_Yrs_MsgCnt1': 10, 'CR_Yrs_Crc1': 236}",1,No,No,No,No,No
