arbitration_id,raw_data,Batch_ID,Pass_1,Pass_2,Pass_3,Pass_4,Pass_5
0x18f,fe570000003c0000,0,No,No,No,No,No
0x545,d800008a00000000,0,No,No,No,No,No
0x140,0000000016222633,0,No,No,No,No,No
0x329,dcbc7f1411200014,0,No,No,No,No,No
0x18f,fe5b0000003c0000,0,No,No,No,No,No
0x18f,fe590000003c0000,0,No,No,No,No,No
0x329,40ba7f1411200014,0,No,No,No,No,No
0x260,19212130088e6c3c,0,No,No,No,No,No
0x130,238000ff2880024b,0,No,No,No,No,No
0x260,19212130088e680d,0,No,No,No,No,No
0x316,05221c0a221f006f,0,No,No,No,No,No
0x260,19212130088f6a3d,0,No,No,No,No,No
0x130,118000ff23800e3b,0,No,No,No,No,No
0x260,19222330088e7135,0,No,No,No,No,No
0x140,000000000c20259b,0,No,No,No,No,No
0x140,000000001a00209a,0,No,No,No,No,No
0x18f,fe5d0000003c0000,0,No,No,No,No,No
0x545,d800008800000000,0,No,No,No,No,No
0x18f,fe5b0000003c0000,0,No,No,No,No,No
0x545,d800008900000000,0,No,No,No,No,No
0x18f,fe56000000410000,0,No,No,No,No,No
0x130,0f8000ff1d800fbf,0,No,No,No,No,No
0x316,052178092120006f,0,No,No,No,No,No
0x329,dcb97f1411200014,1,No,No,No,No,No
0x130,168000ff15800aec,1,No,No,No,No,No
0x130,118000ff2e8009ed,1,No,No,No,No,No
0x140,000000000e222de8,1,No,No,No,No,No
0x260,19222330088f6e14,1,No,No,No,No,No
0x140,000000000c292d65,1,No,No,No,No,No
0x153,002110ff00ff0000,1,No,No,No,No,No
0x260,19222230088f6f03,1,No,No,No,No,No
0x130,198000ff1d800cf2,1,No,No,No,No,No
0x260,19222230088e6f04,1,No,No,No,No,No
0x260,19222230088e7026,1,No,No,No,No,No
0x545,d800008800000000,1,No,No,No,No,No
0x329,86ba7f1411200014,1,No,No,No,No,No
0x153,002110ff00ff0000,1,No,No,No,No,No
0x545,d800008900000000,1,No,No,No,No,No
0x140,00000000040f2da9,1,No,No,No,No,No
0x130,088000ff2e800e88,1,No,No,No,No,No
0x316,052358092322006e,1,No,No,No,No,No
0x140,00000000022027a8,1,No,No,No,No,No
0x316,05217c092121006f,1,No,No,No,No,No
0x140,0000000006272004,1,No,No,No,No,No
0x153,002110ff00ff0000,1,No,No,No,No,No
0x545,d853008900000000,1,No,No,No,No,No
0x140,0000000004002e2d,2,No,No,No,No,No
0x18f,fe58000000410000,2,No,No,No,No,No
0x316,052268092221006f,2,No,No,No,No,No
0x130,188000ff00800389,2,No,No,No,No,No
0x18f,fe58000000410000,2,No,No,No,No,No
0x545,d800008a00000000,2,No,No,No,No,No
0x140,0000000002292b22,2,No,No,No,No,No
0x260,1a232330088e6d03,2,No,No,No,No,No
0x329,86ba7f1411200014,2,No,No,No,No,No
0x545,d800008a00000000,2,No,No,No,No,No
0x260,1b232330088f6608,2,No,No,No,No,No
0x18f,fe5c0000003c0000,2,No,No,No,No,No
0x316,0522500a221f006f,2,No,No,No,No,No
0x260,18222230088f7103,2,No,No,No,No,No
0x316,052260092221006f,2,No,No,No,No,No
0x140,000000000828295b,2,No,No,No,No,No
0x329,dcb97f1411200014,2,No,No,No,No,No
0x260,1b232330088e6939,2,No,No,No,No,No
0x316,0525180a2521006e,2,No,No,No,No,No
0x545,d800008900000000,2,No,No,No,No,No
0x153,002110ff00ff0000,2,No,No,No,No,No
0x130,108000ff18800252,2,No,No,No,No,No
0x130,168000ff29800d9d,2,No,No,No,No,No
0x140,0000000006202d7c,3,No,No,No,No,No
0x153,002110ff00ff0000,3,No,No,No,No,No
0x316,0521380a211e006f,3,No,No,No,No,No
0x153,002110ff00ff0000,3,No,No,No,No,No
0x329,dcbd7f1411200014,3,No,No,No,No,No
0x260,1b232330088e6928,3,No,No,No,No,No
0x316,052274092222006e,3,No,No,No,No,No
0x18f,fe5b0000003c0000,3,No,No,No,No,No
0x329,40b67f1411200014,3,No,No,No,No,No
0x153,002110ff00ff0000,3,No,No,No,No,No
0x545,d800008a00000000,3,No,No,No,No,No
0x545,d800008200000000,3,No,No,No,No,No
0x18f,fe580000003c0000,3,No,No,No,No,No
0x329,86bc7f1411200014,3,No,No,No,No,No
0x260,18222230088f7235,3,No,No,No,No,No
0x316,05236c092322006d,3,No,No,No,No,No
0x130,0b8000ff06800d74,3,No,No,No,No,No
0x545,d800008800000000,3,No,No,No,No,No
0x260,1a232330088e7100,3,No,No,No,No,No
0x18f,fe560000003c0000,3,No,No,No,No,No
0x260,19212130088e6c09,3,No,No,No,No,No
0x130,178000ffed7f07f5,3,No,No,No,No,No
0x260,1a222230088e6c17,3,No,No,No,No,No
0x329,40b87f1411200014,4,No,No,No,No,No
0x316,052360092322006e,4,No,No,No,No,No
0x153,002110ff00ff0000,4,No,No,No,No,No
0x140,00000000040027d8,4,No,No,No,No,No
0x140,0000000020022da4,4,No,No,No,No,No
0x316,05219c092121006f,4,No,No,No,No,No
0x153,002110ff00ff0000,4,No,No,No,No,No
0x140,000000000c2920e4,4,No,No,No,No,No
0x316,052364092321006e,4,No,No,No,No,No
0x153,002110ff00ff0000,4,No,No,No,No,No
0x316,052370092322006e,4,No,No,No,No,No
0x329,dcba7f1411200014,4,No,No,No,No,No
0x260,18212130088f6e07,4,No,No,No,No,No
0x545,d800008900000000,4,No,No,No,No,No
0x18f,fe58000000410000,4,No,No,No,No,No
0x18f,fe56000000410000,4,No,No,No,No,No
0x329,86b57f1411200014,4,No,No,No,No,No
0x18f,fe5d0000003c0000,4,No,No,No,No,No
0x140,000000001e0d2c3b,4,No,No,No,No,No
0x18f,fe56000000410000,4,No,No,No,No,No
0x153,002110ff00ff0000,4,No,No,No,No,No
0x545,d800008300000000,4,No,No,No,No,No
0x329,40b87f1411200014,4,No,No,No,No,No
0x140,000000000e332d10,5,Yes,Yes,Yes,Yes,Yes
0x153,002110ff00ff0000,5,Yes,Yes,Yes,Yes,Yes
0x545,d800008900000000,5,Yes,Yes,Yes,Yes,Yes
0x329,40b47f1411200014,5,Yes,Yes,Yes,Yes,Yes
0x260,1a222230088f693b,5,Yes,Yes,Yes,Yes,Yes
0x140,00000000022921f0,5,Yes,Yes,Yes,Yes,Yes
0x140,0000000016002090,5,Yes,Yes,Yes,Yes,Yes
0x329,86ba7f1411200014,5,Yes,Yes,Yes,Yes,Yes
0x153,002110ff00ff0000,5,Yes,Yes,Yes,Yes,Yes
0x260,18212130088f7127,5,Yes,Yes,Yes,Yes,Yes
0x260,19212130088e6d2a,5,Yes,Yes,Yes,Yes,Yes
0x316,052184092121006f,5,Yes,Yes,Yes,Yes,Yes
0x260,19212130088f6a0a,5,Yes,Yes,Yes,Yes,Yes
0x140,000000000c2f2ef7,5,Yes,Yes,Yes,Yes,Yes
0x329,40bd7f1411200014,5,Yes,Yes,Yes,Yes,Yes
0x18f,fe59000000410000,5,Yes,Yes,Yes,Yes,Yes
0x130,128000fffc7f0471,5,Yes,Yes,Yes,Yes,Yes
0x140,000000000a002a50,5,Yes,Yes,Yes,Yes,Yes
0x545,d800008900000000,5,Yes,Yes,Yes,Yes,Yes
0x130,0e8000ff14800694,5,Yes,Yes,Yes,Yes,Yes
0x18f,fe5b0000003c0000,5,Yes,Yes,Yes,Yes,Yes
0x140,0000000006332e3b,5,Yes,Yes,Yes,Yes,Yes
0x130,118000ff2880074e,5,Yes,Yes,Yes,Yes,Yes
0x140,000000000a212e1d,6,No,No,No,No,No
0x130,0b8000ff1f800ba1,6,No,No,No,No,No
0x18f,fe540000003c0000,6,No,No,No,No,No
0x153,002110ff00ff0000,6,No,No,No,No,No
0x260,19222230088e7213,6,No,No,No,No,No
0x140,00000000042527cc,6,No,No,No,No,No
0x130,1f8000ff2280010e,6,No,No,No,No,No
0x545,d800008900000000,6,No,No,No,No,No
0x153,002110ff00ff0000,6,No,No,No,No,No
0x260,18222230088f7400,6,No,No,No,No,No
0x260,19212230088f682d,6,No,No,No,No,No
0x130,138000ff47800aa3,6,No,No,No,No,No
0x18f,fe5b000000410000,6,No,No,No,No,No
0x153,002110ff00ff0000,6,No,No,No,No,No
0x260,19212130088e6b0a,6,No,No,No,No,No
0x329,86bb7f1411200014,6,No,No,No,No,No
0x260,1b232330088e6e12,6,No,No,No,No,No
0x130,158000fff87f0e2b,6,No,No,No,No,No
0x316,052274092222006e,6,No,No,No,No,No
0x18f,fe5d0000003c0000,6,No,No,No,No,No
0x140,0000000002202a29,6,No,No,No,No,No
0x153,002110ff00ff0000,6,No,No,No,No,No
0x545,d85f008a00000000,6,No,No,No,No,No
0x140,0000000022082f5f,7,No,No,No,No,No
0x140,0000000014202913,7,No,No,No,No,No
0x545,d800008600000000,7,No,No,No,No,No
0x140,000000000a2120bb,7,No,No,No,No,No
0x18f,fe5c0000003c0000,7,No,No,No,No,No
0x329,40be7f1411200014,7,No,No,No,No,No
0x545,d800008a00000000,7,No,No,No,No,No
0x18f,fe58000000410000,7,No,No,No,No,No
0x18f,fe5d0000003c0000,7,No,No,No,No,No
0x140,000000001a0026d4,7,No,No,No,No,No
0x153,002110ff00ff0000,7,No,No,No,No,No
0x140,00000000022023dc,7,No,No,No,No,No
0x545,d854008a00000000,7,No,No,No,No,No
0x18f,fe560000003c0000,7,No,No,No,No,No
0x329,86bf7f1411200014,7,No,No,No,No,No
0x140,000000000a122a7c,7,No,No,No,No,No
0x260,18222130088f7423,7,No,No,No,No,No
0x316,052370092322006e,7,No,No,No,No,No
0x329,40b57f1411200014,7,No,No,No,No,No
0x18f,fe570000003c0000,7,No,No,No,No,No
0x140,000000001a002c06,7,No,No,No,No,No
0x18f,fe5d0000003c0000,7,No,No,No,No,No
0x140,0000000002272476,7,No,No,No,No,No
0x130,1d8000ff22800e0f,8,No,No,No,No,No
0x545,d800008900000000,8,No,No,No,No,No
0x18f,fe5d0000003c0000,8,No,No,No,No,No
0x140,00000000062729f1,8,No,No,No,No,No
0x140,000000000c2f2051,8,No,No,No,No,No
0x153,002110ff00ff0000,8,No,No,No,No,No
0x153,002110ff00ff0000,8,No,No,No,No,No
0x316,05226c092221006e,8,No,No,No,No,No
0x140,000000000e332879,8,No,No,No,No,No
0x316,05212c0a211e006f,8,No,No,No,No,No
0x329,86b77f1411200014,8,No,No,No,No,No
0x260,19222230088e7004,8,No,No,No,No,No
0x316,052194092121006f,8,No,No,No,No,No
0x153,002110ff00ff0000,8,No,No,No,No,No
0x18f,fe5c0000003c0000,8,No,No,No,No,No
0x316,0521500a211e006f,8,No,No,No,No,No
0x18f,fe5a000000410000,8,No,No,No,No,No
0x545,d800008900000000,8,No,No,No,No,No
0x545,d800008800000000,8,No,No,No,No,No
0x153,002110ff00ff0000,8,No,No,No,No,No
0x260,19212130088e6c1a,8,No,No,No,No,No
0x140,00000000102926b8,8,No,No,No,No,No
0x130,118000ff158006fe,8,No,No,No,No,No
0x329,dcbb7f1411200014,9,No,No,No,No,No
0x260,1a232330088e6c26,9,No,No,No,No,No
0x18f,fe5e0000003c0000,9,No,No,No,No,No
0x260,19222230088e6e38,9,No,No,No,No,No
0x260,19212130088f6b3c,9,No,No,No,No,No
0x260,19212130088f6b3c,9,No,No,No,No,No
0x140,0000000014212c36,9,No,No,No,No,No
0x329,dcbb7f1411200014,9,No,No,No,No,No
0x140,0000000014222dff,9,No,No,No,No,No
0x130,0f8000ff00800d18,9,No,No,No,No,No
0x130,178000ff048000f4,9,No,No,No,No,No
0x18f,fe5c0000003c0000,9,No,No,No,No,No
0x316,052264092221006f,9,No,No,No,No,No
0x140,000000001027274a,9,No,No,No,No,No
0x260,19222230088f6e04,9,No,No,No,No,No
0x140,0000000002292b22,9,No,No,No,No,No
0x545,d800007f00000000,9,No,No,No,No,No
0x545,d800008100000000,9,No,No,No,No,No
0x130,198000ff0b800ed5,9,No,No,No,No,No
0x130,ff7f00ff06800bf3,9,No,No,No,No,No
0x260,1a232330088e7100,9,No,No,No,No,No
