arbitration_id,raw_data,Batch_ID,Pass_1,Pass_2,Pass_3,Pass_4,Pass_5
0x329,86b87f1411200014,0,No,No,No,No,No
0x260,19212130088e6c3c,0,No,No,No,No,No
0x18f,fe570000003c0000,0,No,No,No,No,No
0x316,052258092220006f,0,No,No,No,No,No
0x153,002110ff00ff0000,0,No,No,No,No,No
0x260,19222230088e7026,0,No,No,No,No,No
0x18f,fe5b0000003c0000,0,No,No,No,No,No
0x329,dcbc7f1411200014,0,No,No,No,No,No
0x140,00000000062629bd,0,No,No,No,No,No
0x130,178000ff30800e7c,0,No,No,No,No,No
0x2b0,ff7f0005d0,0,No,No,No,No,No
0x260,19222230088e6d28,0,No,No,No,No,No
0x140,0000000014202b29,0,No,No,No,No,No
0x18f,fe5d0000003c0000,0,No,No,No,No,No
0x130,168000ff1c800f06,0,No,No,No,No,No
0x153,002110ff00ff0000,0,No,No,No,No,No
0x153,002110ff00ff0000,0,No,No,No,No,No
0x130,178000fff87f0764,0,No,No,No,No,No
0x316,05226c092221006f,0,No,No,No,No,No
0x329,dcbc7f1411200014,0,No,No,No,No,No
0x2b0,000000079e,0,No,No,No,No,No
0x316,052258092220006f,0,No,No,No,No,No
0x130,178000ff168000ef,0,No,No,No,No,No
0x329,40b77f1411200014,1,No,No,No,No,No
0x387,55516e260b1bbc66,1,No,No,No,No,No
0x153,002110ff00ff0000,1,No,No,No,No,No
0x153,002110ff00ff0000,1,No,No,No,No,No
0x329,40bc7f1411200014,1,No,No,No,No,No
0x18f,fe5c0000003c0000,1,No,No,No,No,No
0x545,d800008900000000,1,No,No,No,No,No
0x140,00000000122328df,1,No,No,No,No,No
0x140,00000000123326cd,1,No,No,No,No,No
0x545,d800008a00000000,1,No,No,No,No,No
0x130,108000ff10800de5,1,No,No,No,No,No
0x153,002110ff00ff0000,1,No,No,No,No,No
0x316,012250092220006f,1,No,No,No,No,No
0x545,d800008200000000,1,No,No,No,No,No
0x316,05207809201f006f,1,No,No,No,No,No
0x18f,fe500000003c0000,1,No,No,No,No,No
0x329,dcba7f1411200014,1,No,No,No,No,No
0x130,188000ffee7f0cea,1,No,No,No,No,No
0x329,dcb97f1411200014,1,No,No,No,No,No
0x130,158000ff2c800406,1,No,No,No,No,No
0x18f,fe530000003c0000,1,No,No,No,No,No
0x260,19222230088e6e27,1,No,No,No,No,No
0x140,0000000004202d7f,1,No,No,No,No,No
0x153,002110ff00ff0000,2,No,No,No,No,No
0x260,19222230088e6f26,2,No,No,No,No,No
0x130,178000ff19800069,2,No,No,No,No,No
0x260,19222230088e6e27,2,No,No,No,No,No
0x130,1e8000ff398004a2,2,No,No,No,No,No
0x153,002110ff00ff0000,2,No,No,No,No,No
0x153,002110ff00ff0000,2,No,No,No,No,No
0x329,40bb7f1411200014,2,No,No,No,No,No
0x329,dcb77f1411200014,2,No,No,No,No,No
0x153,002110ff00ff0000,2,No,No,No,No,No
0x316,052368092322006e,2,No,No,No,No,No
0x527,347cb95e0ce3613f,2,No,No,No,No,No
0x153,002110ff00ff0000,2,No,No,No,No,No
0x130,198000ff2180071f,2,No,No,No,No,No
0x329,40ba7f1411200014,2,No,No,No,No,No
0x316,05213c0a211f006f,2,No,No,No,No,No
0x153,002110ff00ff0000,2,No,No,No,No,No
0x2b0,00000007e9,2,No,No,No,No,No
0x153,002110ff00ff0000,2,No,No,No,No,No
0x153,002110ff00ff0000,2,No,No,No,No,No
0x260,1b232330088e6b37,2,No,No,No,No,No
0x260,1b232330088e6f33,2,No,No,No,No,No
0x260,19222230088e7213,2,No,No,No,No,No
